sentence,aspect,sentiment
"Tính năng nổi bật: Đẹp 
Chất lượng sản phẩm: Tốt điện thoại dùng hộp kim rất chắc chắn rất khó để trầy xước 
Đúng với mô tả: Đúng rất đẹp.",Design,positive
"🔋 
Thời lượng pin: Xạc đầy không gọi mà pin vẫn tuộc hết",Battery,negative
"Máy có dấu hiệu dán còn hở, không đáng tiền",Price,negative
Có nhắn cho cửa hàng như bị đơ + lag + loạn cảm ứng,Performance,negative
"Cũng ổn với giá này, còn chất lượng thì chưa đánh giá được phải sử dụng lâu mới biết, sử dụng chơi tạm thì được còn sử dụng thiệt thì cũng không tốt lắm",Price,neutral
Nhận được máy đẹp sử dụng tốt giao hàng đúng hẹn đóng gói cẩn thận chất lượng để sử dụng thời gian xem sao,Packaging,positive
"Ship cực nhanh, shipper thân thiện, máy mới nguyên đai nguyên kiện. 5 sao không nói nhiều.",Packaging,positive
"Màu sắc: Đen 
Phân loại: Nguyên seal máy mở ra có bụi bám vào các kẽ viền máy, có xước 1 đoạn nhỏ nắp lưng, nắp lưng không rõ có đóng lại hay không ? tạm chấp nhận sài 1 thời gian sẽ sửa lại",Design,negative
"Giao hàng khá nhanh. Vỏ hộp móp méo quá mức, bên trong bọc chống sốc sơ sài. Hàng mới kích hoạt, hạn bảo hành còn đến 31/3/26. Máy không vấn đề.",Packaging,negative
"Tính năng nổi bật: Màn hình đẹp. Máy mượt. Pin khá 
Đúng với mô tả: Loa nhiều bass hợp nghe nhạc remix so với giá thì tốt. Loa nghe max âm thì hơi rè 1 xíu nhưng vẫn ngon hơn máy giá rẻ",General,positive
"Phiên bản: Ram 6/128gb mình nhận xét sau mấy ngày sử dụng sản phẩm,rất tuyệt hình ả sáng đẹp lướt rất mượt tốc độ rất nhanh,loa to âm thanh hay,pin rất trâu,giá nói chung vừa tầm đổi lại chất lượng vừa lòng mình,rất thích cảm ơn cửa hàng nhiều có dịp sẽ ủng hộ tiếp,mọi người lên mua ủng hộ shops sản phẩm này,không làm mọi người thất vọng đâu,cửa hàng nhiệt tình chu đáo hướng dẫn vui vẻ,uy tín chất lượng ta,tặng cửa hàng nghìn sao👌👍",Shop_Service,positive
"Nhóm màu: Desert 
Dung lượng lưu trữ: 256gb lần này cửa hàng giao khá chậm so với dự kiến và cửa hàng cũng có giải thích do sale đơn hàng nhiều. Hàng chính hãng đóng gói đẹp",Shipping,neutral
"Cửa hàng giao hàng nhanh, đóng gói kỹ. Máy tốt, chạy mượt. Rất đáng tiền cho 1 game ming phone giá rẻ. Cảm ơn cửa hàng",Price,positive
Variation3: Bạc variation1: Không hộp (mới 100%) cho cửa hàng 5sao. Vì phục vụ khánh hàng rất chu đáo. Hàng đúng mô tả,Shop_Service,positive
"Chất lượng sản phẩm: Camera không focus xa. 
Đúng với mô tả: Lấy nét xa không được. 
Tính năng nổi bật: Lấy nét kém. Camera góc rộng bị biến dạng quá nhiều. Máy nóng khi chơi game nhẹ. Ship bị thất lạc",Shipping,negative
"Nhóm màu: Đen nết na 
Dung lượng lưu trữ: 12/512gb hàng chính hãng samsung,nguyên đai,nguyên kiện,đóng gói cẩn thận. Giá rẻ hơn thị trường. Quá tuyệt vời luôn,cám ơn cửa hàng,lần sau mua tiếp.",Price,positive
"Tốt lắm nha giao hàng nhanh, đáng mua trong tầm giá",Shipping,positive
Máy nóng rực khi mở camera. Pin không trâu được như giới thiệu. Đèn flash yếu. Hiệu năng xử lý file lớn chậm. Chăm sóc khách hàng phản hồi rất lâu mới trả lời. Hàng bị trả lại do ghi sai sdt,Shop_Service,negative
"Sản phẩm có nhược điểm lớn nhất là pin cực kỳ kém, chỉ dùng được khoảng 3 ngày dù ít sử dụng. Lúc sụt thì rất nhanh. Về dịch vụ, dù đã nói cho bên cửa hàng nhưng vẫn không được giải quyết. Sản phẩm kém chất lượng",Shop_Service,negative
"Kém không khớp yếu pin hết nhanh. Đóng gói lỏng lẻo.,",Battery,negative
"Shipping giao nhầm size. Không đúng đơn. Vận chuyển lộn xộn. Đặt màu khác mà giao nhầm màu, phải mất công đổi. Hiệu năng hơi lag",Packaging,negative
Nhóm màu: Vàng mua sử dụng được 3 ngày,General,neutral
"Màu sắc: Bạc 
Phân loại: Nguyên seal sản phẩm chất lượng. Nếu có nhu cầu sẽ ủng hộ cửa hàng nữa",Packaging,positive
Tốt hàng đẹp,Design,positive
"Điện thoại hàng rởm, gọi điện nói chả ai nghe gì, bán cho mình đúng ngay con máy bị hư, đời khốn nạn thật",General,negative
"Máy chính hãng mua giá tốt hơn ngoài store nhưng mình phê bình cách đóng gói của cửa hàng khá là sơ sài, hàng giá trị cao mà đóng gói rất tệ, hi vọng cửa hàng cải thiện lại vấn đề này để khách hàng có được sự trải nghiệm tốt hơn",Packaging,negative
"Nhóm màu: Xanh dương 
Dung lượng lưu trữ: 128gb tuổi thọ pin lâu dài., độ phân giải màn hình tuyệt vời., chất lượng camera ấn tượng!, tuổi thọ pin lâu dài., các tính năng đột phá, yêu cổng usb-c!, các tính năng đột phá, yêu cổng usb-c!,",Battery,positive
"Nhóm màu: Xanh dương 
Dung lượng lưu trữ: 6gb+128gb tính năng: Màn hình hiển thị sáng, sắc nét, màu sắc đẹp. Chụp ảnh đẹp, màu sắc trung thực. Chất lượng: Màn hình cảm ứng nhạy. Chưa thử quay phim có công nghệ chống rung. Chất liệu: Vỏ nhựa sáng bóng, mịn màng, các chi tiết đúc sắc sảo.",Display,positive
"🚚 Giao hàng nhanh chóng, đóng gói chắc chắn. 👨‍💼 Người bán hỗ trợ nhiệt tình, tư vấn rõ ràng. 👍 Rất hài lòng, xứng đáng 5 sao.",Shipping,positive
"Sản phẩm đúng với mô tả của cửa hàng, giao hàng nhanh. Đóng gói kỹ lưỡng. Ngày kích hoạt bảo hành 24/8/25",Shipping,positive
"Tính năng nổi bật: 4g 
Chất lượng sản phẩm: Xuất sắc 
Đúng với mô tả: Đúng quá đẹp luôn màn hình to sóng 4g căng đét phím bấm êm nhẹ. Mọi chức năng đầy đủ đúng mô tả. Hàng chính hãng cửa hàng giao hàng cũng nhanh đóng gói rất cẩn thận sản phẩm xuất sắc. Sale....",Design,positive
"Pin tụt nhanh dù chỉ sử dụng t/gian ngắn, hiệu năng kém, máy lag giật thường xuyên khi chơi game nặng. Đóng hàng sơ sài, hộp móp méo khi nhận. Chăm sóc khách hàng trả lời chậm.",Shop_Service,negative
"Điện thoại oke có thể up android 14, sẽ cập nhật thêm tình trạng nếu có, cốc cáp sạc khác loại",General,neutral
"Variation3: Đen xanh vàng 
Dung lượng lưu trữ: 32gb 
Phân loại sản phẩm: 50cai. Tốt cảm ơn cửa hàng ạ",General,positive
"Máy sử dụng tương đối lag, kiểu không mượt, sử dụng không cảm giác đây là máy mới mua. Mình sử dụng được cỡ 30 ngày mới đánh giá, và thấy khá chậm. Với giá này chắc cũng không đòi hỏi gì hơn",Price,neutral
"Nhóm màu: Trắng giá cả phải chăng cho một chiếc điện thoại 4g, nhỏ gọn và nhẹ, màn hình rõ ràng và sáng,",Display,positive
Camera góc rộng méo mó vật thể. Pin yếu khi sử dụng gps 2 tiếng. Ship mất tracking không theo dõi được.,Shipping,negative
"👉 “Cửa hàng đóng gói cẩn thận, giao hàng nhanh, sản phẩm đúng như mô tả.”",Packaging,positive
"Màu sắc: Hồng đỏ: 
Dung lượng lưu trữ: 128gb hàng 2 sim sản xuất việt nam xuất đi đức. Sử dụng chip 990 cũ. Nóng và tốn pin quá. Onscreen tầm 3h thôi.",Battery,negative
"Cửa hàng bán máy giá rẻ, dù chưa có ai mua thử để kiểm chứng nhưng mình vẫn mua. Cửa hàng có tặng phụ kiện đầy đủ nhưng khi máy về ngoại hình thì như máy dựng, pin phồng kênh cả nắp lưng lên, khung thì như hàng tân trang nhưng vẫn cam kết zin (?) hỗ trợ đổi trả không tới nơi tới chốn. Hàng không tốt mà chăm sóc khách hàng cũng tệ thì em cho 1 sao nhé. Bán hàng thế này thì cửa hàng dẹp luôn đi.",Battery,negative
Mới nhận được hàng để thời gian sử dụng xem sao,General,neutral
"Gửi sai hàng sai hoàn toàn không có. Cửa hàng gửi nhầm cho mình máy khác, lúc gửi lại thì hộp móp méo, seal rách. Làm ăn cẩu thả.",Shipping,negative
"Chất lượng sản phẩm: Tốt 
Tính năng nổi bật: Game ổn trong tầm giá hiệu năng tốt bù lại cho camera tí",Price,positive
Sản phẩm dùng ok mua về làm máy chính vẫn thoải mái chip khoẻ pin trâu sạc nhanh rất ổn trong tầm giá.,Price,positive
"Quá bất ngờ, máy đẹp lắm cửa hàng ơi, sử dụng qua các chức năng hoạt động rất tốt và ổn định, màu sắc đẹp, màn hình cảm ứng lướt êm ái, giá cả vừa tầm hợp lý, mình rất hài lòng vừa ý khi nhận được sản phẩm,đúng như cửa hàng mô tả, cảm ơn cửa hàng nhé,",Price,positive
"Nhóm màu: Pink 
Dung lượng lưu trữ: 128gb tuổi thọ pin lâu dài, thiết kế tuyệt đẹp, tính năng sáng tạo,",Battery,positive
"Nhóm màu: Xám 
Dung lượng lưu trữ: 128gb hàng mới đóng gói cẩn thận cửa hàng tư vấn nhiệt tình để sủ dụng 1 thời gian mới biết được nhưng vẫn ủng hộ cửa hàng",Packaging,positive
"Chất lượng sản phẩm: Tệ 
Đúng với mô tả: Tệ 
Tính năng nổi bật: Tệ
Quảng cáo điện thoại chống nước này kia mà mình dính nc mưa có 5p về bị sọc màn. Mang ra tt kêu bảo hành hết hơn 1 triệu. Quá thất vọng không bao giờ mua lại quảng cáo lừa đảo",Display,negative
Máy tốt mình dùng cả chiều không thấy lag ngon mình săn được giá tốt thấy rất vui,Price,positive
"Hom trước mới mua 1 cái cửa hàng giao sai màu hôm nay mua thêm cái nữa cửa hàng đã giao đúng màu mà nhìn đẹp hơn cái trước nữa. Cấu hình, ram đúng quảng cáo, cái này mua cho mẹ sử dụng là tốt. Mượt, pin trâu, không nóng máy đâu nhé mấy men. Ai muốn ngon bổ rẻ thì mua con này là quá tốt",Price,positive
"Giao sai quận, pin chỉ 2 giờ nghe nhạc. Camera macro thiếu chi tiết, dịch vụ đóng cuộc bất chợt.",Shipping,negative
Màu sắc: Vàng giá cả hợp lý chất lượng màu sắc tốt sử dụng dễ dàng gắn sim vào là sử dụng được ngay loa lớn pin khỏe,Price,positive
"Nhóm màu: Đen đã nhận hàng, hàng chất lượng tốt giá sale rẻ mua bán tiện lợi nhanh chóng…………",Price,positive
"Hàng giao rất nhanh, cửa hàng tận tình, chu đáo, điện thoại rất ổn áp, đẹp",Shop_Service,positive
"Màu sắc: Đen 
Phân loại: Nguyên seal tính năng: Rẻ trong tầm giá chất lượng: Ổn định cửa hàng giao nhanh +nhiệt tình tư vấn",Shop_Service,positive
"Đóng gói cẩu thả. Hàng không được bọc chống sốc. Không được bảo vệ. Hàng dễ vỡ mà chỉ gói bằng túi nilông mỏng, không có hộp cứng bên ngoài. Hiệu năng máy hơi lag",Packaging,negative
"Đúng với mô tả: Đúng 
Chất lượng sản phẩm: 9/10 
Tính năng nổi bật: Nfc sản phẩm tốt",General,positive
Chất lượng sản phẩm: Không được vui sản phẩm: Sản phẩm không như mô tả mình không hi vọng ở máy 1 triệu mặc dù máy giất mượt và tạm tạm nhưng cửa hàng lại lừa mình sản phẩm 256 gb sau khi mình kiểm tra thấy mấy đã. Kick 256 gb còn ram tht chỉ có 128 gb mình hi vọng cửa hàng đưa ra lời giải thích,Performance,positive
"Khả năng quay video của camera ở mức thông thường, không có chống rung quang học.",Camera,neutral
"Đóng gói cẩu thả. Hàng không được bọc chống sốc. Không được bảo vệ. Hàng dễ vỡ mà chỉ gói bằng túi nilông mỏng, không có hộp cứng bên ngoài. Hiệu năng máy hơi lag",Performance,negative
"Chất lượng sản phẩm: Hiệu năng và màn hình ở mức trung bình, không có khác biệt rõ rệt.",Performance,neutral
"Sản phẩm nhỏ gọn, đầy đủ tính năng, khá đẹp so với giá tiền. Nói chung ổn",Price,positive
"Màu sắc: Đen đơn hàng a30 baze, nhận được là a900 pro giá trị thấp hơn nhưng có chức năng tương đồng,đóng gói cẩn thận,nhìn chung sản phẩm đúng như thông tin đăng tải. Rất hài lòng.",Packaging,positive
"Color family: Random color sản phẩm: Mình rất thích và ưng ý cửa hàng nhe, tư vấn nhiệt tình chuyên nghiệp, điện thoại đúng như mô tả, đã test chất lượng, còn tặng thêm cáp sạc với ốp lưng đẹp, giá phù hợp với sản phẩm,mọi người nên mua ở đây.",Shop_Service,positive
Đóng gói chấp nhận được.,Packaging,neutral
"Hiệu năng hơi kém, dưới mức tạm được. Màu sắc máy ngoài đời xấu hơn. Pin sạc đầy rất lâu. Chăm sóc khách hàng hứa hẹn rồi mất tăm. Vận chuyển không có mã theo dõi",Design,negative
"Hàng chính hãng, mở ra nguyên seal, chất lượng ok, để dùng 1 vài hôm",General,positive
Hàng ô kê nhé nên mua nha mọi người ưng lắm nè giao nhanh cửa hàng đóng gói okela lá lô lắm,Shipping,positive
"Nói chung con này quá ngon so với cái tầm giá của nó rồi, không có chỗ để chê đâu, sạc siêu nhanh gần 1 tiếng từ 1% lên 100% có tự động ngắt kết nối nguồn sạc khi đầy pin, hiệu năng thì khỏi bàn, còn mấy ông thích kiểu chụp ảnh này nọ thì đừng kì vọng cao, camera của nó lên được 1080p:60FPS, cpu Helio G99, RAM24gb, ROM256gb pin 5000mAh",Camera,negative
"Nhóm màu: Xanh dương 
Dung lượng lưu trữ: 128gb giao hàng nhanh chóng và an toàn. Thiết kế mượt mà, rất ưng!...",Design,positive
"Ảnh thiếu tương phản, flare khi ngược sáng. Khác với mô tả màu sắc rực rỡ. Tính năng HDR hoạt động thất thường. Hiệu năng camera chậm, máy nóng khi chụp liên tục, ship tới muộn",Shipping,negative
"Nhóm màu: Pink 
Dung lượng lưu trữ: 128gb săn sale được 19tr695. Ta nói nó đã gì đâu luôn. Không bỏ công thức đêm canh giật mã",Price,positive
"Đang dùng chính điện thoại mua của cửa hàng để đánh giá, sản phẩm tốt, điện thoại OK, cảm biến tốt",Performance,positive
"Thiết bị hoạt động mượt mà, pin bền, thiết kế hiện đại, rất đáng tiền với tầm giá này. Chất lượng vượt mong đợi, âm thanh rõ, kết nối ổn định, dùng lâu không nóng máy. Giao hàng nhanh, sản phẩm như mô tả, hiệu suất cao, rất hài lòng sau vài ngày sử dụng. Sản phẩm chính hãng, đóng gói cẩn thận, hiệu năng tốt, phù hợp nhu cầu công việc lẫn giải trí.",Price,positive
"Sản phẩm này có thiết kế đơn giản nhưng tinh tế, phù hợp với nhiều đối tượng người dùng. Chất lượng khá bền, sử dụng lâu dài mà không bị hỏng hóc nhanh. Giá thành hợp lý so với tính năng mang lại. Tuy nhiên, bao bì chưa thật sự nổi bật, nếu cải thiện hơn sẽ tạo ấn tượng mạnh mẽ hơn với khách hàng.",Design,positive
Sơn bong tróc hàng khác với hình ảnh sạc chậm. Liên hệ bảo hành thì phải chờ cả tuần mới có người trả lời,Shop_Service,negative
"Giao hàng chậm không thông báo, đóng gói sử dụng túi nhựa mỏng. Camera phóng to số kém chất lượng, pin không đạt chuẩn quảng cáo.",Battery,negative
"Hiệu năng rất tốt, camera mức trung bình ổn.",Camera,positive
"Nhóm màu: Đen thiết kế mỏng nhẹ và sang trọng, chất lượng camera tuyệt vời để ghi lại những khoảnh khắc,",Design,positive
Giá cả của sản phẩm tương xứng với cấu hình và tính năng.,Price,neutral
"Chất lượng tốt với tầm giá,sử dụng mượt hình thức khá đẹp",Price,positive
"Chất lượng sản phẩm: Khá ổn so với tầm giá 
Tính năng nổi bật: Camera chụp 20 tấm / giây máy ổn so với tầm giá nhưng - cổng tai nghe có gì (giống keo) ở trong nên gắn tai nghe mãi không được, phải lấy vít đục vỡ vật đó mới gắn được tai nghe và sử dụng bình thường - máy sạc 21w mà cửa hàng tặng sạc 5w : V - nfc sử dụng mãi không được, với nếu đè tay lên khu vực gần biểu tượng nfc thì máy kêu tiếng két - máy mất áp vì bị thay màn hình rồi, nhìn camera trước là biết, mà cũng có thể trong khi thay cửa hàng làm trào keo vào cổng tai nghe?",Price,positive
Hiệu năng lag khi sử dụng phần mềm chỉnh sửa shipping chậm không thông báo chăm sóc khách hàng không chịu lỗi,Performance,negative
Đóng gói sơ sài hộp móp méo. Giao nguyên vẹn không đúng. Bảo hành online phức tạp thiếu phụ kiện gọi chăm sóc khách hàng không giải quyết,Shipping,negative
"Cửa hàng tặng cường lực nhưng,😭 đổi lại thì máy còn rất mới và mượt đã test qua hiệu năng ổn mọi thứ về máy đều tốt",Performance,positive
Variation3: Bạc variation1: Nguyên seal sợ tốt lắm nha mọi người lần đầu mua điện thoại online mà uy tín z,General,positive
Máy ngon nguyên seal nha mọi người bảo hành được thêm 2 tiếng nữa quá tuyệt cảm ơn cửa hàng. Nhưng full hợp giá thành quá hợp lý mùa sale nữa. Đánh giá cửa hàng 5 sao lần sau sẽ ủng hộ thêm.,Shop_Service,positive
"Quay video bị giật, chống rung ảo không tốt. Khác với mô tả quay mượt. Tính năng quay 4k hạn chế, nhanh nóng, ship giao sản phẩm có vết",Shipping,negative
"Màu sắc: Bạc 
Phân loại: Nguyên seal hàng rất chuẩn có chống nước giá tốt mình thấy hai lòng tốt cảm ơn cửa hàng",General,positive
Kém. Máy bị đơ cứng. Chăm sóc khách hàng thờ ơ. Lag không làm được gì. Pin tệ. Chăm sóc khách hàng không có giải pháp,Shop_Service,negative
"Color family: Random color sản phẩm: Màu đen cáp sạc giá rẻ mà điện thoại sử dụng rất tốt,máy mua cho ng lớn sử dụng. Pin tốt màn hình đẹp. Nhân viên giao hàng nhiệt tình. Thái độ phục vụ tốt",Battery,positive
"Color: Đen-l vẻ ngoài đơn giản và đẹp trai, hiện đại và thời trang, vừa vặn thoải mái và rộng rãi, thiết kế phong cách và hợp thời trang, dễ phối đồ và linh hoạt,",Others,neutral
Mua về dùng thử 2 tuần mọi thứ ok. Áp mã giảm giá vào thì con này quá ok với giá này. Mình chuyển từ iphone 12 qua xài pin phê thật sự chơi game từ sáng tới tối vẫn còn 30%. Nói chung sau 2 tuần dùng thì cho 10 điểm còn sau này có vấn đề gì không thì chưa nói được 😂,Price,positive
"Nhóm 
Màu sắc: Màu ngẫu nhiên sản phẩm: Mua hàng ở cửa hàng này khá tốt, đóng gói tốt. Giá tiền rẻ so với mặt bằng chung. Nhìn chung thì cũng hài lòng nha",Others,neutral
"Cửa hàng ship hàng rất nhanh, đúng sản phầm, chất lượng sàn phầm rất tốt, cửa hàng gói hàng rất cẩn thận. Có dịp sẽ ùng hộ cửa hàng thêm. Hình ành chỉ nhằm mục đích nhận xu thôi ạ. Mình cảm on cửa hàng",Shipping,positive
Camera sau có cảm biến chính 108MP,Camera,neutral
Màu: Đen dòng máy: Iphone x/xs/xsmax........... Chat leieu rat dinh va thich đep nữa mọi người ủng hộ sop đi vua gia cả hop li lại tiên dụng dễ dàng cam on sop. Hinh anh mang tinh minh hoa thôi cam on,Price,positive
Mình lấy về thì đủ phụ kiện nhưng điện thoại sạc không vô báo dấu x và không lên pin tuy rằng phụ kiện đầy đủ mình góp ý cho cửa hàng là khi ship hàng quấn cẩn thận và nên quấn khăn rồi mới quấn giấy chống sốc,Packaging,negative
"Hàng chất. Đã dùng của hãng nhiều mẫu điện thoại. Giá hợp lý. Giao nhanh, đóng gói cân thận",Packaging,positive
"Màu sắc: Tím 
Phân loại: Likenew 99% đẹp không 1 tì vết cửa hàng rất uy tín hàng mới cáo ken 100% hơn là 99%. Kh chat với cửa hàng để hỗ trợ nhiều hơn",Shop_Service,neutral
"Chiếc điện thoại mới này thực sự ấn tượng. Camera chụp ảnh sắc nét, màu sắc sống động, đặc biệt trong điều kiện thiếu sáng. Hiệu năng mượt mà, xử lý đa nhiệm tốt, không có hiện tượng giật lag. Thiết kế đẹp mắt, cầm nắm chắc tay. Tuy nhiên, pin có vẻ không được trâu như mong đợi, cần sạc lại vào cuối ngày nếu sử dụng nhiều. Nhìn chung, đây là một chiếc điện thoại đáng mua trong tầm giá.",Battery,negative
Pin của máy có thể sử dụng được trong một ngày với các tác vụ nghe gọi và nhắn tin cơ bản.,Battery,neutral
Cửa hàng hổ trợ tốt. Có s nói v hàng full seal,Shop_Service,positive
Giao sai màu so với thoả thuận trước khi giao hàng,Packaging,negative
"Tính năng: Tốt chất lượng: Sử dụng tốt chất liệu: Nhựa cứng, chắc chắn cửa hàng đóng gói cẩn thận, giao hàng nhanh, shipper thân thiện, chuyên nghiệp.",Shipping,positive
"Sản phẩm chính hãng, không bị trôi bảo hành, sẽ ủng hộ cửa hàng lần sau, nếu có nhu cầu mua tiếp",Shop_Service,positive
"Hàng còn nguyên seal, nhưng mà hộp siêu nát, như pin bóc ra tráo hàng vậy, khâu vận chuyển tệ quá tệ",Shipping,negative
Điện thoại hơi lag xíu còn lại tốt,Performance,negative
Máy hay bị đứng hình khi chuyển tab. Không ổn định khi chạy đa nhiệm. Hiệu năng không đạt điểm benchmark. Mở 2 app là giật. Pin sạc lâu. Giao hàng không báo trước,Performance,negative
"Sản phẩm: Sản phẩm chất lượng kém, hàng lỗi hoặc bị hư hỏng nhận hàng sạc pin sử dụng chưa được 1 tiếng, sập nguồn. Sạc lại không được, hàng tệ không nên mua",General,negative
"Máy xước sâu. Ngoại hình cực kém. Cho củ sạc đểu. Không có cáp sạc. Không ôp, không kính, nói chung là thiếu uy tín.",Design,negative
"Tính năng nổi bật: Gamning 
Chất lượng sản phẩm: Xịn và đẹp 
Đúng với mô tả: Đúng",Performance,positive
"Chất lượng tệ nhất. Hình thức đẹp nhưng bên trong hỏng. Camera chụp xấu. Ảnh chụp thiếu sáng noise nặng. Máy giật, lag. Pin hao nhanh. Đóng gói rách. Ship trễ",Packaging,negative
Sản phẩm đúng như hình giá rẻ mua được 6 triệu 800.000đ giao hàng nhanh nên mua ngoài ra đóng gói rất kỹ lưỡng có rất nhiều bọc ni lông bảo vệ mọi người lưu ý nên quay phim lại trước khi khui hộp sẽ đảm bảo quyền lợi,Price,positive
"Phiên bản: Ram 8gb-256gb chất lượng: Oke. Máy ổn áp. Dán kính cường lực bị lỗi không sử dụng được vân tay lại phải bỏ kính cường lực đi. Điện thoại oke. 1 sim, 1 esim",General,positive
