data,Battery,Camera,Performance,Display,Design,Packaging,Price,Shop_Service,Shipping,General,Others
Giá sản phẩm phản ánh đúng thông số kỹ thuật. Hộp đựng sản phẩm bao gồm thân máy và cáp sạc.,Neutral,,,,Neutral,Neutral,Neutral,,,,
"Thiết kế mặt sau đẹp, mặt trước nhìn hơi chán Phù hợp cho học sinh & người lớn tuổi phổ cập smartphone. Sẽ quay lại đánh giá sau 1 thời gian sử dụng.",,,,,Positive,,,,,,
"Màn có vết bảo đảm 'không lỗi' điểm chết, xem phim khó chịu,",,,,Negative,,,,,,,
"Sản phẩm như cứt, làm ăn bát ngáo",,,,,,,,,,Negative,
"cửa hàng tư vấn nhiệt tình,đóng gói cẩn thận, giao hàng nhanh, giá cả thấy rẻ hơn cửa hàng khác, mình đã mua của cửa hàng 2 cái rồi.",,,,,,Positive,Positive,Positive,Positive,,
"Đúng với mô tả: tốt 
Tính năng nổi bật: tốt 
Chất lượng sản phẩm: tốt
Tin tưởng hệ thống shopdunk, mua online 2 sản phẩm chưa gặp lỗi gì",,,,,,,,,,Positive,
"Nhóm màu: xanh dương 
Dung lượng lưu trữ: 128gb ship nhanh và rất cẩn thận, máy sử dụng bao mượt, màu xanh xinh mà ở ngoài nhìn hơi nhạt xíu. Lựa chọn màu sắc tuyệt vời!, sử dụng vật liệu chất lượng cao., độ phân giải màn hình tuyệt vời., chất lượng camera ấn tượng!,",,Positive,Positive,Positive,Positive,,,,Positive,,
"Cam cực kỳ thông minh, tự cân sáng và lấy nét nhanh, không bỏ lỡ khoảnh khắc nào.",,Positive,,,,,,,,,
"Giao hàng chậm mùa cao điểm, camera thiếu chống rung tay. Dịch vụ khách hàng giải quyết chậm, pin hao khi cập nhật.",Negative,Negative,,,,,,Negative,Negative,,
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb màn hình sống động, thiết kế tuyệt đẹp, màn hình sống động, màn hình sống động,",,,,Positive,Positive,,,,,,
Máy mới.đầy đủ tính năng dù đời máy hơi sâu.cửa hàng tặng que chọc sim và ốp cùng cường lực như quảng cáo. Chỉ đáng tiếc 1 điều là pin không đủ dung lượng. Quảng cáo là pin 5000mah mà thực tế pin của máy dòng này chỉ hơn 3000 mah. Mọi người cân nhắc khi mua dòng máy này. Có thể dòng máy khác của cửa hàng đủ dung lượng.,Negative,,,,,,,,,,
Mua về xong mới biết bị chém đẹp giá cao ngất không đáng tí nào,,,,,,,Negative,,,,
"Đúng với mô tả: tốt 
Chất lượng sản phẩm: tốt 
Tính năng nổi bật: sản phẩm chất lượng tốt",,,,,,,,,,Positive,
"Điện thoại lỗi loạn cảm ứng, yêu cầu hoàn tiền cửa hàng khui rồi quay cái mã vạch trên máy nói đã được kiểm định nên không chập nhận, ép khách nhận lại máy trong khi có khiếu nại video các thứ lên rồi, mọi người mua nên né cửa hàng này ra",,,,,,,,Negative,,,
Nhóm màu: đen đẹp lắm nha mọi người ơi nên mua ạ giá rẻ còn chất lượng nữa ạ xinh lắm nha mọi người,,,,,Positive,,Positive,,,,
Bùn.đăc trắng giao hồng.tặng sạc lỏ.anh em mua bên maytinhbanghaiphong uy tính hơn,,,,,,,,,,Negative,
"ngon bổ rẻ,máy dùng rất ok trong tầm tiền,mượt",,,Positive,,,,Positive,,,,
Pin và hiệu năng của máy thì để dùng thêm mới đánh giá chính xác được.,Neutral,,Neutral,,,,,,,,
sản phẩm bị trầy xướt quá nhiều không cài rom joyui như bên cửa hàng 2t store nói chung là ổn 8/10,,,,,Negative,,,,,,
"Mua về cho bố dùng rất ok, được tặng tai nghe nữa, rẻ hơn so với mua ngoài siêu thị tận 2 triệu nên mua",,,,,,,Positive,,,,
Đánh giá mang tính chất lấy xu. Sản phẩm và dịch vụ bình thường,,,,,,,,,,Neutral,
"Chất lượng sản phẩm: tệ 
Đúng với mô tả: không 
Tính năng nổi bật: không sản phẩm: hàng lỗi hoặc bị hư hỏng, sản phẩm giả mạo, sản phẩm không như mô tả, sản phẩm chất lượng kém điện thoại fake, sửa 7749 lần, lừa đảo, không nên mua điện thoại, hao pin, sử dụng 10 phút tự tắt nguồn hết pin, không mở lên được, lượm cục sạc ở đâu mà sạc không được, không nhận danh bạ sim khác, tắt nguồn quài không lên, mọi người không nên mua điện thoại trên đây sẽ bị lừa giống tôi (hình ảnh chỉ mang tính chất lấy xu)",Negative,,,,,,,,,Negative,
"Quá thất vọng với con máy. Sóng điện thoại rất kém, 4g cũng vậy, bắt wifi cũng chán không tưởng.pin hết nhanh như tụt quần. Nếu có 0 thì tôi sẻ đánh giá 0 sao",Negative,,,,Negative,,,,,,
"Giá tiền không tương xứng với trải nghiệm, cảm giác bị chém giá ngay từ đầu.",,,,,,,Negative,,,,
"Nhóm màu: đen tuổi thọ pin lâu dài, dung lượng lưu trữ rộng rãi 128gb,",Positive,,,,,,,,,,
"Màu sắc: màu ngẫu nhiên sản phẩm: chất lượng sản phẩm bên cửa hàng rất tuyệt, đúng hàng chính hãng,đã tìm ra cửa hàng bán hàng uy tín chất lượng,và giá cả rất bình dân.... cảm on cửa hàng đã giao hàng nhanh và hàng chất lượng. rất đáng nên mua nhé mọi người",,,,,,,Positive,,Positive,,
"Tưởng giá mắc thì ngoại hình phải đẹp, ai ngờ nhận về máy xấu, tróc sơn ở góc luôn.",,,,,Negative,,Negative,,,,
đánh giá sau 1 tháng sử dụng. pin sử dụng được lâu. máy đơ 2 lần không sử dụng được phải khởi động máy lại mới sử dụng được.,Positive,,Negative,,,,,,,,
"100% chơi 3 ván game tốc chiến setting max, không bật tiết kiệm pin, trung bình 1 ván 25p còn 31% (nhớ sử dụng sò lạnh, con này nóng điên) loa nghe hay nhưng hơi lệch không biết chỉnh ở đâu để mò thử, đang sử dụng con pova3 chuyển qua con này chơi nhạy với mượt quá không quen tay 😅, do là mua chỉ mục đích chơi game ban đêm nên là tầm giá 1tr6 chất lượng rất ổn với 1 máy cũ như này, không biết bảo hành nếu có sự cố cửa hàng hỗ trợ ra sao nhưng trước mắt 10₫",Positive,,Positive,,,,Positive,Neutral,,,
"Kém quá nhiều bloatware ứng dụng rác chiếm dung lượng,",,,,,,,,,,Negative,
"Tính năng nổi bật: ✅ 
Đúng với mô tả: ✅ 
Chất lượng sản phẩm: ✅ đặt hàng trong ngày có luôn nhân viên giao hàng nhiệt tình máy sử dụng ổn,trải nghiệm tốt",,,,,,,,,Positive,Positive,
Thời gian giao hàng phụ thuộc vào địa chỉ người nhận. Mức giá niêm yết không bao gồm phụ kiện mua thêm.,,,,,,Neutral,Neutral,,Neutral,,
"Màu sắc: đen opal 8gb/128gb 🔋 
Thời lượng pin:cao 📸 
Chất lượng camera:tốt ⚡ 
Hiệu suất:rất tốt",Positive,Positive,Positive,,,,,,,,
Đã nhận được hàng. Sản phẩm giống như mô tả. Chính hãng nên quá ok. Hình ảnh mang tính chất nhận xu:D,,,,,,,,,,Positive,
"Chất lượng sản phẩm: tốt 
Tính năng nổi bật: màn hình cong đẹp 
Đúng với mô tả: đúng theo mô tả màn hình đẹp. Chất âm tốt. Mỏng nhẹ đẹp.",,,,Positive,Positive,,,,,Positive,
"Cửa hàng nói kiểm tra kỹ mà giao cái điện thoại loa bị rè, màn hình thì bị 2-3 bóng không biết có sử dụng bền hay không. Nói chung không hài lòng chút nào",,,,Negative,,,,,,Negative,
"Color family: random color sản phẩm: máy không quá mắc tiền nhưng chất lượng nhận được thì qua tuyệt, ngoại hình cũng đẹp, giao hàng lại nhiệt tình nên mình rất hài lòng.",,,,,Positive,,Positive,,Positive,,
sản phẩm: sản phẩm không như mô tả pin 5k màn hình hd nhưng tôi test thực tế với điện thoại zte libero màn hình full hd pin 4k thì 2 bên ngang nhau.chứng tỏ pin 5k trên sản phẩm này là ảo nhé.pin không chất lượng,Negative,,,Negative,,,,,,,
"Hinh anh mang tinh chat minh hoa de nhạn xu, máy ổn áp oke la",,,,,,,,,,Positive,
Thiết kế sản phẩm có kiểu dáng thông thường.,,,,,Neutral,,,,,,
Mức giá được niêm yết trên website,,,,,,,Neutral,,,,
"Màu sắc: đen 
bạn nhà mình khá là thích, nhìn là thấy máy mới 100%, đang sạc pin nên chưa mở được, tặng cửa hàng 5 sao",,,,,,,,,,Neutral,
"Tính năng nổi bật: không co 
Chất lượng sản phẩm: tốt 
Đúng với mô tả: tốt
Hàng được phết mới về nên mới sử dụng chưa được bao lâu nếu có vấn đề gì sẽ đánh giá lại",,,,,,,,,,Positive,
"Nhanh chóng, shipper thân thiện dễ mến đóng gói cẩn thận, có thể thấy tâm huyết của người bán. Hộp không bị móp méo, vận chuyển rất tốt. Thời gian giao hàng nhanh chóng, tôi không phải chờ đợi quá lâu để nhận sản phẩm. Chất lượng sản phẩm vượt mong đợi. Tôi rất hài lòng với trải nghiệm mua hàng này. Sản phẩm chất lượng tốt, đóng gói cẩn thận, giao hàng nhanh. Đã mua lần thứ 3 và vẫn rất hài lòng. Sản phẩm được giao nhanh và đóng gói chắc chắn.",,,,,,Positive,,,Positive,,
"cửa hàng uy tín, hàng chính hãng, đóng gói cẩn thận, giao hàng nhanh, được tặng ốp lưng",,,,,,Positive,,,Positive,,
sản phẩm quả là chất lượng cửa hàng cửa hàng bán hàng rất uy tín. bán hàng tư vấn rất nhiệt tình và có tâm chu đáo với khách hàng đóng hàng nhanh giao hàng nhanh chóng cảm ơn cửa hàng,,,,,,Positive,,Positive,Positive,,
J2 prime không sử dụng được,,,,,,,,,,Negative,
"Sản phẩm tốt trong phân khúc 3tr. Máy chạy tác vụ cơ bản tương đối mượt. Đa nhiệm vừa đủ dùng, không nhanh, nhưng không chậm. Hàng fullbox. Nguyên seal. Đóng gói chuẩn.. còn bền hay không thì 1 - 2 năm mới rõ được.",,,Positive,,,Positive,Positive,,,Positive,
"giao hàng nhanh, sản phẩm tốt",,,,,,,,,Positive,Positive,
Sản phẩm đúng mô tả nguyên seal,,,,,,,,,,Positive,
Hệ điều hành có các bản cập nhật định kỳ. Camera cho ra ảnh có màu sắc trung thực.,,Neutral,,,,,,,,Neutral,
"
Tính năng nổi bật: tốt 
Đúng với mô tả: ngon với giá tiền này thì nó trùm phân khúc rồi! hiệu năng tốt lại đẹp nữa❤️🌹",,,Positive,,Positive,,Positive,,,,
Ngoại hình tốt nhưng màn bị nhiều chấm trắng,,,,Negative,Positive,,,,,,
"Nhóm màu: đen nết na 
Dung lượng lưu trữ: 12/256gb hiện tại đang sử dụng ổn nhé mọi người, đang tìm thêm cục sạc 45w để sạc.",,,,,,,,,,Positive,
Đúng chất lượng sản pham,,,,,,,,,,Positive,
mua điện thoại về cho công việc mình cũng không có sim ngay nên không test lúc mua về. đến lúc mua sim thì gọi mãi không được lại bận công việc nên khoing báo hoàn hàng được. liên hệ cửa hàng thì mãi không trả lời.... này là đồ vứt đi chứ sử dụng thế nào được??? sóng lên đủ mà không gọi được điện thoại? tóm lại là cửa hàng không uy tín thì không nên mua!,,,,,,,,Negative,,Negative,
Hàng đúng với mô tả nha giao nhanh nửa mọi người đặt ủng hộ sớm nhé,,,,,,,,,Positive,,
"Màu sắc: đen 
máy chỉ có 1 sim thôi, mua không để ý nên... giao hàng tương đối nhanh",,,,,,,,,Positive,,
"Màu sắc: bạc 
10 điểm khong có chê 😗😗😗😗😗😗😗😗😗😗😗😗😗😗😗😗😗😗😗",,,,,,,,,,Positive,
"Backlight bleed màn đều là quảng cáo sai xem phim bị lóa, khó chịu,",,,,Negative,,,,,,,
bán hàng không có cục sạc,,,,,,,,,,Negative,
tôi không biết mấy người khác đánh giá ra sao nhưng tôi thấy máy như vậy là ngon rồi,,,,,,,,,,Positive,
Color family: color random sản phẩm: nhận hàng ưng ý. máy mới 99%. cửa hàng cũng có test giúp trc khi gửi như lời mình yêu cầu. mua về cho nhóc tập nhắn tin zalo và liên lạc với mẹ trong vài trường hợp cần thiết. trong tầm giá này thì chiếc điện thoại này đáng để mua. cửa hàng làm ăn uy tín nhé.,,,,,,,Positive,,,,
Bên cửa hàng chỉ giờ hành chính muộn. Hiệu năng nóng pin chai sau 2 tuần. Ship giao thiếu thông báo thời gian.,Negative,,,,,,,,Negative,,
"Xài tác vụ thông thường không có gì chê Để hàng đặt trước nhưng mà có sẵn Giao nhanh, hôm trước đặt, hôm sau nhận được",,,,,,,,,Positive,,
sản phẩm đúng mô tả. đóng gói hàng cẩn thận.,,,,,,Positive,,,,,
"Tính năng nổi bật: game enhance, rung sinh động, v.v 
Chất lượng sản phẩm: good 
Đúng với mô tả: ✓ giao sớm hơn mình nghĩ. Máy đã test nhanh và thấy ổn, nhìn sơ chưa thấy thay gì cả. Mình đã test từ màn, loa, mic, pin và rung (chừa mỗi sim vì cũng hơi lười). Một số chỗ lấn cấn thì không có vấn đề gì lắm, sước dăm cũng ít. Nói chung, máy rất ổn trong mức giá chất lượng hình ảnh mình sử dụng pixel 4 để chụp thì chắc sẽ bị app làm mờ lại chút nhưng không sao, chắc vẫn nhìn rõ",Positive,Positive,Positive,Positive,,,Positive,,Positive,Positive,
"Giá máy theo mình hơi cao, kỳ vọng nhiều nhưng lại thấy tiếc tiền.",,,,,,,Negative,,,,
"Nhóm màu: pink 
Dung lượng lưu trữ: 128gb khả năng sạc nhanh, màn hình sống động, thiết kế tuyệt đẹp, giá trị tuyệt vời cho số tiền bỏ ra, chất lượng máy ảnh ấn tượng, thiết kế tuyệt đẹp, thiết kế tuyệt đẹp,",Positive,Positive,,Positive,Positive,,Positive,,,,
"máy hiện tại sử dụng ổn định, hàng nhà mạng at&t của mỹ. ngoại hình đẹp, pin tốt, mình sử dụng ít nên phải được hơn 24h. hài lòng sản phẩm của cửa hàng.",Positive,,,,Positive,,,,,,
"Có người quen giới thiệu nên cũng tin tưởng và mua ủng hộ cửa hàng. Được 1 cái là cửa hàng giao hàng nhanh còn chất lượng thì y như người quen của mình đã nói luôn, siêu tuyệt vời, đã thế còn giá rẻ nữa, chần chờ gì mà không mua nữa bà con ơi",,,,,,,Positive,,Positive,,
Tưởng mua máy xịn ai dè đắt mà xài chẳng hơn con rẻ tiền bao nhiêu,,,,,,,Negative,,,,
"Giao hàng nhanh tưởng qua tết mới nhận cơ, máy đẹp đúng mô tả dùng thử ít hôm xem có lỗi vật không",,,,,Positive,,,,Positive,,
"Honor tối ưu trải nghiệm của người dùng bằng hệ điều hành quá tốt nhưng tới Honor 200 thì hơi chững, máy đôi khi vẫn có lỗi nhỏ nhưng không đáng kể, mong là tương lai Honor sẽ cho những bản cập nhật giúp hoàn thiện hơn quá trình sử dụng.",,,,,,,,,,Positive,
"Máy nhanh hết pin,lag cửa hàng lừa đảo",Negative,,,,,,,,,,
Sau 2 tuần sử dụng thấy máy rất êm,,,Positive,,,,,,,,
Hàng oder nhưng chuẩn bị và giao hàng khá nhanh. Máy mới nguyên seal. Sau time dùng thử sẽ có đánh giá chi tiết,,,,,,,,,Positive,,
"Nhóm màu: xanh 
Hiệu suất: tuyệt vời tuyệt vời, cửa hàng giao hàng chất lượng, rất đúng như quảng cáo,máy đẹp,các chức năng cơ bản hoạt động ổn định,màn hình cảm ứng nhạy, màu sắc rực rỡ như mong đợi, cấu hình mạnh mẽ,lên mạng mượt mà,, pin sử dụng chuẩn tẹt ga, thật đáng đồng tiền. Cảm ơn cửa hàng",Positive,,Positive,,Positive,,Positive,,,,
máy dựng tới khay sim được cạo sơn màu hồng rồi sơn lại thành màu đen bên trong còn không có ống heatpipe dựng cẩu thả quá,,,,,,,,,,Negative,
"nhóm 
Màu sắc: màu ngẫu nhiên sản phẩm: hài lòng",,,,,,,,,,Positive,
"pin tụt nhanh dùng làm máy chính thì không ổn lắm, đóng gói quá Sơ sài, ship muộn tận 5 ngày dù trong tphcm, chăm sóc khách hàng lúng túng trả lời lâu",Negative,,,,,Negative,,Negative,Negative,,
"đã mua lần 2. thấy ok lắm, cửa hàng nhiệt tình, gửi hàng nhanh, đóng gói cẩn thận, sẽ tiếp tục ủng hộ trong thời gian tới.",,,,,,Positive,,Positive,Positive,,
"Nhóm màu: nhiều màu 
Dung lượng lưu trữ: 128gb sau 5 ngày nhận hàng, đã test màn hình đẹp máy gắn sim vô là sử dụng, vì máy cũ pin hơi hẻo tí không sao, tặng tai nghe 3.5 sử dụng không được, thay vào đó cửa hàng có thể tặng ốp và dán dẻo cho màn hình luôn thì tốt",Positive,,,Positive,,,,,,,
"Hơi tiếc vì không săn được bản 12gb giá ngon tầm gần đầu 7 như mấy anh chị, nhưng với bản 8gb mà khoảng đuôi 8-9 là cũng được rồi.",,,,,,,Positive,,,,
"Đã nhận hàng, nói chung là ổn. Đang cập nhật phần mềm.",,,,,,,,,,Positive,
"sản phẩm rat ngon trong tầm giá,tot can mua rat tien loi,mọi nguoi nen ủng hộ",,,,,,,Positive,,,Positive,
giao hàng nhanh chóng chất lượng sản phẩm tuyệt vời sẽ tiếp tục ủng hộ nhiều lần tiếp theo,,,,,,,,,Positive,,
giao hàng lỗi hàng hư nhắn tin cửa hàng không 1 lời xl còn nc trên đầu.. máy bán lỗi google không tải được đánh giá truoc toàn không phải sự thật mọi ng không nên mua,,,,,,,,Negative,,Negative,
"Nhóm màu: desert 
Dung lượng lưu trữ: 512gb nhận máy mới, xịn quá, cầm mà run tay, bay ngay tháng lương lụn",,,,,,,,,,Positive,
Chính hãng bóc seal check date bảo hành,,,,,,,,Neutral,,,
"Nhóm màu: màu xanh lá cây 
Dung lượng lưu trữ: 128gb ⚡ 
Hiệu suất: tuổi thọ pin lâu dài., màu sắc tuyệt đẹp, khó lựa chọn!, độ phân giải hiển thị tuyệt vời, độ phân giải hiển thị tuyệt vời,",Positive,,,Positive,Positive,,,,,,
"Nhóm màu: trắng máy đẹp như mới,đóng gói cẩn thận tốt cửa hàng, thời gian sẽ nhận xét thêm về chất lượng độ bền, có bảo hành đầy đủ",,,,,,Positive,,Positive,Negative,Neutral,
Thời lượng pin đáp ứng cho một ngày làm việc thông thường.,Neutral,,,,,,,,,,
mua tại sàn thông qua thanh toán visa.,,,,,,,,,,Neutral,
"Tính năng nổi bật: điện thoại cũ 
Chất lượng sản phẩm: không sử dụng được 
Đúng với mô tả: không sản phẩm: hàng lỗi hoặc bị hư hỏng, sản phẩm không như mô tả, sản phẩm chất lượng kém, sản phẩm giả mạo không nên mua nhé mọi người ơi. lừa đảo",,,,,,,,,,Negative,
"Đúng với mô tả: không đúng cửa hàng giao điện thoại dung lượng bộ nhớ không đúng mô tả, không có giấy tờ bảo hành. khi nhắn tin hỏi cửa hàng không trả lời.",,,,,,,,Negative,,,
camera quang học kém nét. pin hao dữ khi sạc không dây. ship phí nội thành nhưng chậm ngoại ô.,Negative,Negative,,,,,,,Negative,,
"Sản phẩm như quảng cáo trên cửa hàng bán, cửa hàng giao hàng siêu nhanh",,,,,,,,,Positive,,
"sạc lỏng, màn bị ám ánh sáng khi màn hình màu trắng",,,,Negative,,,,,,,
Ok đóng gói cần thận hàng mới xịn,,,,,,Positive,,,,,
Hàng đẹp chất lượng cao ngon bổ rẻ,,,,,Positive,,Positive,,,,
Sản phẩm được đóng gói theo tiêu chuẩn. Thời gian giao hàng đúng như dự kiến.,,,,,,Neutral,,,Neutral,,
"Đóng gói sơ sài niêm phong sai hộp móp, phụ kiện thiếu, shipper giao muộn,",,,,,,Negative,,,Negative,,
may bị chậm lắm,,,Negative,,,,,,,,
"Đặt màu hồng, wifi kết nối 5g, sẽ đánh giá thêm.",,,,,,,,,,Neutral,
"Kém không yếu shipping phí đắt. Hiệu năng lag nặng.,",,,Negative,,,,,,Negative,,
"
Máy đẹp, trầy viền theo năm tháng, máy ổn định! tốt! có điều sạc kèm theo không đủ dung lượng sạc nhanh nên nó hơi chậm pin, chơi game max setting sẽ bị tụt pin dù cắm sạc đang tìm cách xử lý cài đặt",Negative,,,,Positive,,,,,,
Máy ổn áp chất lượng trong tầm giá. Tuy vậy có tai nghe (sử dụng làm anten) thì chất lượng fm sẽ tốt hơn.,,,,,,,Positive,,,,
Máy cũ đã qua sử dụng mà trong mô tả nói là máy mới. Pin sử dụng đến 40% là máy đơ cứng nói chung là quá thất vọng.,Negative,,,,,,,,,,
"Màu sắc: đen 
Phân loại: likenew 99% cửa hàng uy tín",,,,,,,,,,Positive,
"Tình trạng đơn hàng được cập nhật trên hệ thống, thời gian giao hàng đúng với thông báo ban đầu của sàn.",,,,,,,,,Neutral,,
bàn phím cứng bị lỗi bấm lúc được lúc không,,,,,,,,,,Negative,
"Màu sắc: đen 
Phân loại: không hộp (mới 100%) sử dụng tốt, máy rẻ thì cũng không đòi hỏi gì nhiều, ốp lưng tặng kèm không sử dụng được",,,,,,,Positive,,,,
"Tổng quan xài ổn Bắt sóng wifi,4g mạnh hơn pova2 Pin 7000mAh yếu hơn pova2 Sạc nhanh 45w nhưng hơn 1h30 mới đầy pin Loa ngoài to, nhưng mở âm lượng lớn sẽ bị rung, rất khó chịu.",Negative,,,,,,,,,,
"bị lỗi không nhận sóng wifi đã đem đi bảo hành, nhưng phần bảo hành thấy chưa ổn. Là người được chọn nên có gửi máy đi bảo hành, nhưng đã hơn tuần vẫn chưa được xử lí thỏa đáng, xin được để lại đánh giá vài hôm nữa trả bảo hành sửa đánh giá sau.",,,,,,,,Negative,,,
Màn hình máy sử dụng tấm nền IPS LCD. Camera có khả năng quay video ở độ phân giải Full HD.,,Neutral,,Neutral,,,,,,,
"Kém cỏi không giống pin tụt vèo vèo như chạy marathon không nghỉ, camera mờ tịt như mắt cận thị quên kính, đóng gói lỏng lẻo đến nỗi tưởng đang chơi trò ú tim với hàng hóa",Negative,Negative,,,,Negative,,,,,
"phế phẩm quảng cáo phóng đại chơi game nhẹ mà nóng như lò sưởi, tay cầm không nổi,",,,,,,,,,,Negative,
Đóng gói chắc chắn Giao hàng nhanh Lần đầu tiên mua đồ điện tử giá trị cao qua shoppee. Cũng hơi hồi hộp Nay nhận máy thì thấy ổn áp. Dùng lâu không biết như thế nào,,,,,,Positive,,,Positive,,
"Màu sắc: xanh dương 
Phân loại sản phẩm: có kèm phụ kiện điện thoại xịn xò thật sự, đầy đủ chức năng, vuốt rất mượt, mình rất ưng luôn nên mình sẽ tiếp tục ủng hộ lần sau nha",,,Positive,,,,,,,,
"sản phẩm như quảng cáo. giao hàng nhiệt tình, vui vẻ.",,,,,,,,,Positive,,
"cửa hàng gói hàng kỹ, điện thoại cầm nhẹ tay, sử dụng mượt, mình mua tặng phụ huynh nên cần máy chính hãng như này là quá tuyệt vời, tầm phân khúc 3-4 củ chính hãng thì con spark 40 này vả bốp bốp hết 🤣🤣",,,Positive,,,Positive,Positive,,,,
"cửa hàng làm ăn có tâm,sau mấy ngày sử dụng thì thấy ổn. Hết!",,,,,,,,,,Positive,
"5 sao nha. Mua về làm máy phụ mà đẹp với mượt hơn con 13 pro max của mình. Màn đẹp nét căng, pin trâu. Test qua pubg thì mượt. Mình mua làm việc chứ không chơi game nên quá ổn. cửa hàng tặng tai nghe cũng ngon",,,Positive,Positive,Positive,,,,,,
"Chất lượng sản phẩm: quá tốt 
Tính năng nổi bật: xịn 
Đúng với mô tả: đúng mô tả máy chất lượn quá tốt, nguyên tem niêm phong khi nhận. sẽ ủng hộ cửa hàng lần sau",,,,,,,,,,Positive,
"Tính năng nổi bật: ai 
Chất lượng sản phẩm: tốt 
Đúng với mô tả: đúng mô tả",,,,,,,,,,Positive,
"Màu sắc: bạc 
Phân loại: nguyên seal đã nhận được hàng. sản phẩm giống như hình. máy mới 100% nha mọi người, có ốp lưng tặng kèm theo máy lắp vừa khít luôn. đã test thử rất tốt. rất hài lòng không có gì để chê trong tầm giá này. quá tốt.",,,,,,Positive,Positive,,,Positive,
Màu: đen dòng máy: iphone x/xs/xsmax...........chat leieu rat dinh va thich đep nữa mọi người ủng hộ sop đi vua gia cả hop li lại tiên dụng dễ dàng cam on sop. Hinh anh mang tinh minh hoa thôi cam on,,,,,Positive,,Positive,,,,
mới sài được 1 ngày thì hư,,,,,,,,,,Negative,
"Nhóm màu: đỏ giá cả phải chăng cho một chiếc điện thoại 4g, dung lượng lưu trữ mở rộng để chứa nhiều dữ liệu hơn,bảo hành tin cậy trong 12 tháng, có nhiều màu sắc tươi sáng để lựa chọn, thiết kế cổ điển của nokia, hai khe cắm sim tiện lợi, nhỏ gọn và nhẹ nhàng, giá cả phải chăng cho một chiếc điện thoại 4g, màn hình sáng và rõ nét, thời gian sử dụng pin lâu,",Positive,,,Positive,Positive,,Positive,Positive,,,
